instructions,trial_type,true_label,false_label,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,required_response.keys,required_response.corr,required_response.rt,feedback_response.keys,feedback_response.corr,feedback_response.rt,participant,gender,age,frameRate,expName,date,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",2,TRUE,FALSE,0,0,0,0,0,0,0,1,e,1,0.921967983246,i,1,0.485743045807,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",1,TRUE,FALSE,0,0,0,0,0,1,1,0,i,1,0.2856798172,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",1,TRUE,FALSE,0,0,0,0,1,0,2,0,i,1,0.251811981201,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",1,TRUE,FALSE,0,0,0,0,1,1,3,0,i,1,0.286408185959,e,1,0.286078929901,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",2,TRUE,FALSE,0,0,0,0,2,0,4,1,e,1,0.305994033813,i,1,0.305703163147,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",2,TRUE,FALSE,0,0,0,0,2,1,5,1,e,1,0.417924880981,i,1,0.401051044464,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",2,TRUE,FALSE,0,0,0,0,3,0,6,1,e,1,0.318376064301,i,1,0.28556394577,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",1,TRUE,FALSE,0,0,0,0,3,1,7,0,i,1,0.302080154419,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",1,TRUE,FALSE,0,0,0,0,4,0,8,0,i,1,0.302076101303,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",1,TRUE,FALSE,0,0,0,0,4,1,9,0,i,1,0.33521604538,e,1,0.334727048874,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",1,TRUE,FALSE,0,0,0,0,5,0,10,0,i,1,0.235799074173,e,1,0.235501050949,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",2,TRUE,FALSE,0,0,0,0,5,1,11,1,e,1,0.251874923706,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",2,TRUE,FALSE,0,0,0,0,6,0,12,1,e,1,0.251601934433,i,1,0.251479148865,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",2,TRUE,FALSE,0,0,0,0,6,1,13,1,e,1,0.319034099579,i,1,0.300904989243,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",1,TRUE,FALSE,0,0,0,0,7,0,14,0,i,1,0.286556005478,e,1,0.286355018616,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",1,TRUE,FALSE,0,0,0,0,7,1,15,0,i,1,0.302463054657,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",1,TRUE,FALSE,0,0,0,0,8,0,16,0,i,1,0.251298904419,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",2,TRUE,FALSE,0,0,0,0,8,1,17,1,e,1,0.252470970154,i,1,0.235255002975,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",2,TRUE,FALSE,0,0,0,0,9,0,18,1,e,1,0.285535812378,i,1,0.268288135529,1,,,59.2111400353,RRT,2016_May_01_1535,
"In this reaction time task will you have to respond to words and statements that are presented on screen. 

The first phase presents both words in orange.

Your job is to categorise these words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake, hit the correct key as soon as possible.

Put your two index fingers on the E and I keys. Press either one to start.",2,TRUE,FALSE,0,0,0,0,9,1,19,1,e,1,0.253087997437,i,1,0.252790927887,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",5,TRUE,FALSE,0,1,1,1,0,0,0,2,e,1,0.270097970963,i,1,0.269876003265,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",3,TRUE,FALSE,0,1,1,1,0,1,1,0,i,1,0.217561006546,e,1,0.184158086777,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",6,TRUE,FALSE,0,1,1,1,0,2,2,3,i,1,0.151251077652,e,1,0.15084195137,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",3,TRUE,FALSE,0,1,1,1,0,3,3,0,i,1,0.152698993683,e,1,0.152429103851,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",6,TRUE,FALSE,0,1,1,1,1,0,4,3,i,1,0.168031215668,e,1,0.167690038681,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",5,TRUE,FALSE,0,1,1,1,1,1,5,2,e,1,279.213033915,i,1,279.012029886,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",3,TRUE,FALSE,0,1,1,1,1,2,6,0,i,1,0.201130151749,e,1,0.184982061386,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",4,TRUE,FALSE,0,1,1,1,1,3,7,1,e,1,0.0847029685974,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",4,TRUE,FALSE,0,1,1,1,2,0,8,1,e,1,0.151445865631,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",3,TRUE,FALSE,0,1,1,1,2,1,9,0,i,1,0.1849360466,e,1,0.16752409935,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",3,TRUE,FALSE,0,1,1,1,2,2,10,0,i,1,0.135391950607,e,1,0.135250091553,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",5,TRUE,FALSE,0,1,1,1,2,3,11,2,e,1,0.16870880127,i,1,0.168564081192,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",6,TRUE,FALSE,0,1,1,1,3,0,12,3,i,1,0.168234109879,e,1,0.151464939117,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",6,TRUE,FALSE,0,1,1,1,3,1,13,3,i,1,0.150986194611,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",5,TRUE,FALSE,0,1,1,1,3,2,14,2,e,1,0.135126113892,i,1,0.134968996048,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",5,TRUE,FALSE,0,1,1,1,3,3,15,2,e,1,0.134455919266,i,1,0.13428902626,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",4,TRUE,FALSE,0,1,1,1,4,0,16,1,e,1,0.118583917618,i,1,0.118438005447,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",4,TRUE,FALSE,0,1,1,1,4,1,17,1,e,1,0.134369134903,i,1,0.134208917618,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",6,TRUE,FALSE,0,1,1,1,4,2,18,3,i,1,0.134607076645,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",4,TRUE,FALSE,0,1,1,1,4,3,19,1,e,1,0.11709690094,i,1,0.0833749771118,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",3,TRUE,FALSE,0,2,2,2,0,0,0,2,i,1,0.167928218842,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",1,TRUE,FALSE,0,2,2,2,0,1,1,0,i,1,0.119987010956,e,1,0.11950802803,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",4,TRUE,FALSE,0,2,2,2,0,2,2,3,e,1,0.0337750911713,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",1,TRUE,FALSE,0,2,2,2,0,3,3,0,i,1,0.117409944534,e,1,0.101030111313,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",6,TRUE,FALSE,0,2,2,2,0,4,4,5,i,1,0.0859441757202,e,1,0.0856518745422,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",3,TRUE,FALSE,0,2,2,2,0,5,5,2,i,1,0.084184885025,e,1,0.0663640499115,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",4,TRUE,FALSE,0,2,2,2,1,0,6,3,e,1,0.0162689685822,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",5,TRUE,FALSE,0,2,2,2,1,1,7,4,e,1,0.0678210258484,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",2,TRUE,FALSE,0,2,2,2,1,2,8,1,e,1,0.0351550579071,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",5,TRUE,FALSE,0,2,2,2,1,3,9,4,e,1,0.0513100624084,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",2,TRUE,FALSE,0,2,2,2,1,4,10,1,e,1,0.133911132812,i,1,0.118796825409,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",4,TRUE,FALSE,0,2,2,2,1,5,11,3,e,1,0.0336499214172,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",2,TRUE,FALSE,0,2,2,2,2,0,12,1,e,1,0.0518701076508,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",6,TRUE,FALSE,0,2,2,2,2,1,13,5,i,1,0.0506498813629,e,1,0.0327930450439,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",2,TRUE,FALSE,0,2,2,2,2,2,14,1,e,1,0.369598150253,i,1,0.0323679447174,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",6,TRUE,FALSE,0,2,2,2,2,3,15,5,i,1,0.101540088654,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",1,TRUE,FALSE,0,2,2,2,2,4,16,0,i,1,0.0350060462952,None,0,,1,,,59.2111400353,RRT,2016_May_01_1535,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",2,TRUE,FALSE,0,2,2,2,2,5,17,1,e,1,0.168117046356,i,1,0.118578910828,1,,,59.2111400353,RRT,2016_May_01_1535,
